,decision,draws,losses,wins,opponent_wins,opponent_losses,opponent_draws,Height_Difference,Age_Difference
8817,Win,3,8,14,10,0,3,-2.0,-1.0
8818,Win,3,8,14,10,0,3,-2.0,-1.0
8819,Win,2,7,11,11,6,2,3.0,0.0
8820,Win,2,7,11,11,6,2,3.0,0.0
8821,Win,2,7,11,11,6,2,3.0,0.0
8822,Win,2,7,11,11,6,2,3.0,0.0
8823,Win,4,15,35,34,12,4,3.0,-4.0
8824,Win,4,15,35,34,12,4,3.0,-4.0
8825,Win,4,15,35,34,12,4,3.0,-4.0
8826,Win,4,15,35,34,12,4,3.0,-4.0
8827,Loss,2,1,31,29,1,1,-5.0,0.0
8828,Loss,2,1,31,29,1,1,-5.0,0.0
8829,Loss,2,1,31,29,1,1,-5.0,0.0
8830,Loss,2,1,31,29,1,1,-5.0,0.0
8831,Win,0,4,29,24,3,0,0.0,-3.0
8832,Win,0,4,29,24,3,0,0.0,-3.0
8833,Win,0,4,29,24,3,0,0.0,-3.0
8834,Win,0,4,29,24,3,0,0.0,-3.0
8835,Win,1,6,10,7,2,1,0.0,4.0
8836,Win,1,6,10,7,2,1,0.0,4.0
8837,Win,1,6,10,7,2,1,0.0,4.0
8838,Win,1,6,10,7,2,1,0.0,4.0
8839,Win,1,6,10,7,2,1,0.0,4.0
8840,Win,1,6,10,7,2,1,0.0,4.0
8841,Win,1,6,10,7,2,1,0.0,4.0
8842,Win,1,6,10,7,2,1,0.0,4.0
8868,Win,3,8,14,11,3,3,0.0,2.0
8869,Win,4,17,7,4,8,2,-8.0,5.0
8870,Win,3,9,4,2,1,2,-3.0,4.0
8871,Loss,5,20,13,7,12,4,0.0,-3.0
8872,Loss,0,6,18,15,5,0,-3.0,5.0
8873,Loss,0,6,18,15,5,0,-3.0,5.0
8875,Loss,3,8,14,10,1,3,3.0,8.0
8876,Draw,5,9,5,3,1,2,3.0,11.0
8877,Loss,1,4,17,2,0,0,0.0,9.0
8878,Loss,0,1,24,4,0,0,5.0,11.0
8879,Win,4,15,13,10,7,3,0.0,-7.0
8880,Win,4,15,13,10,7,3,0.0,-7.0
8881,Win,4,15,13,10,7,3,0.0,-7.0
8882,Win,4,15,13,10,7,3,0.0,-7.0
8883,Win,4,15,13,10,7,3,0.0,-7.0
8884,Win,4,15,13,10,7,3,0.0,-7.0
8885,Win,4,15,13,10,7,3,0.0,-7.0
8886,Win,4,15,13,10,7,3,0.0,-7.0
8887,Win,4,15,13,10,7,3,0.0,-7.0
8888,Win,4,15,13,10,7,3,0.0,-7.0
8889,Win,4,15,13,10,7,3,0.0,-7.0
8890,Win,4,15,13,10,7,3,0.0,-7.0
8891,Win,4,15,13,10,11,3,5.0,-4.0
8892,Win,4,15,13,10,11,3,5.0,-4.0
8893,Win,4,15,13,10,11,3,5.0,-4.0
8894,Win,4,15,13,10,11,3,5.0,-4.0
8895,Win,4,15,13,10,11,3,5.0,-4.0
8896,Win,4,15,13,10,11,3,5.0,-4.0
8897,Win,4,15,13,10,11,3,5.0,-4.0
8898,Win,4,15,13,10,11,3,5.0,-4.0
8899,Win,4,15,13,10,11,3,5.0,-4.0
8900,Win,0,10,13,8,3,0,5.0,0.0
8901,Win,0,10,13,8,3,0,5.0,0.0
8902,Win,0,10,13,8,3,0,5.0,0.0
8903,Win,1,8,5,4,4,1,3.0,-1.0
8904,Win,1,8,5,4,4,1,3.0,-1.0
8905,Win,1,8,5,4,4,1,3.0,-1.0
8906,Win,1,8,5,4,4,1,3.0,-1.0
8907,Win,1,8,5,4,4,1,3.0,-1.0
8908,Win,1,8,5,4,4,1,3.0,-1.0
8909,Win,1,8,5,4,4,1,3.0,-1.0
8910,Win,1,8,5,4,4,1,3.0,-1.0
8911,Win,1,8,5,4,4,1,3.0,-1.0
8912,Win,2,18,14,3,1,0,-2.0,1.0
8913,Win,2,18,14,3,1,0,-2.0,1.0
8914,Win,2,18,14,3,1,0,-2.0,1.0
8915,Loss,4,15,13,9,7,3,0.0,-6.0
8916,Loss,4,15,13,9,7,3,0.0,-6.0
8917,Loss,4,15,13,9,7,3,0.0,-6.0
8918,Loss,4,15,13,9,7,3,0.0,-6.0
8919,Loss,4,15,13,9,7,3,0.0,-6.0
8920,Loss,4,15,13,9,7,3,0.0,-6.0
8921,Win,0,18,28,28,16,0,4.0,-11.0
8922,Win,0,18,28,28,16,0,4.0,-11.0
8923,Win,4,32,9,6,13,3,8.0,-7.0
8924,Win,4,32,9,6,13,3,8.0,-7.0
8925,Win,1,7,11,10,3,1,3.0,-5.0
8926,Win,1,7,11,10,3,1,3.0,-5.0
8929,Loss,0,1,53,33,0,0,-1.0,-1.0
8930,Loss,0,1,53,33,0,0,-1.0,-1.0
8931,Win,2,16,11,5,2,2,-6.0,-4.0
8932,Win,2,16,11,5,2,2,-6.0,-4.0
8933,Win,4,15,13,10,12,4,5.0,-7.0
8934,Win,4,15,13,10,12,4,5.0,-7.0
8935,Win,4,15,13,10,12,4,5.0,-7.0
8936,Win,4,15,13,10,12,4,5.0,-7.0
8937,Win,4,15,13,10,12,4,5.0,-7.0
8938,Win,4,15,13,10,12,4,5.0,-7.0
8939,Win,4,15,13,10,12,4,5.0,-7.0
8940,Win,4,15,13,10,12,4,5.0,-7.0
8941,Win,4,15,13,10,12,4,5.0,-7.0
8942,Draw,1,5,15,4,0,0,3.0,0.0
8943,Draw,1,5,15,4,0,0,3.0,0.0
8944,Draw,1,5,15,4,0,0,3.0,0.0
8945,Loss,1,5,15,1,0,0,3.0,0.0
8946,Loss,1,5,15,1,0,0,3.0,0.0
8947,Loss,1,5,15,1,0,0,3.0,0.0
8948,Draw,1,5,15,4,0,0,3.0,0.0
8949,Draw,1,5,15,4,0,0,3.0,0.0
8950,Draw,1,5,15,4,0,0,3.0,0.0
8951,Loss,1,5,15,1,0,0,3.0,0.0
8952,Loss,1,5,15,1,0,0,3.0,0.0
8953,Loss,1,5,15,1,0,0,3.0,0.0
8954,Draw,1,5,15,4,0,0,3.0,0.0
8955,Draw,1,5,15,4,0,0,3.0,0.0
8956,Draw,1,5,15,4,0,0,3.0,0.0
8957,Loss,1,5,15,1,0,0,3.0,0.0
8958,Loss,1,5,15,1,0,0,3.0,0.0
8959,Loss,1,5,15,1,0,0,3.0,0.0
8972,Win,4,15,13,10,10,3,0.0,-4.0
8973,Win,4,15,13,10,10,3,0.0,-4.0
8974,Win,4,15,13,10,10,3,0.0,-4.0
8975,Win,4,15,13,10,9,3,0.0,-4.0
8976,Win,4,15,13,10,9,3,0.0,-4.0
8977,Win,4,15,13,10,9,3,0.0,-4.0
8979,Loss,2,13,18,16,8,0,0.0,-3.0
8980,Win,0,13,4,4,2,0,3.0,-2.0
8981,Loss,1,6,14,11,1,0,0.0,0.0
8982,Loss,1,6,14,11,1,0,0.0,0.0
8984,Loss,0,5,27,23,2,0,0.0,-2.0
8985,Win,2,5,14,6,1,1,0.0,0.0
8986,Win,2,5,14,6,1,1,0.0,0.0
8987,Win,2,5,14,6,1,1,0.0,0.0
8988,Loss,0,7,17,16,4,0,4.0,2.0
8989,Loss,0,0,34,23,0,0,-11.0,-2.0
8990,Loss,4,15,13,10,14,4,0.0,0.0
8991,Loss,4,15,13,10,14,4,0.0,0.0
8992,Loss,4,15,13,10,14,4,0.0,0.0
8993,Loss,1,6,13,10,2,0,0.0,6.0
8994,Loss,1,6,13,10,2,0,0.0,6.0
8995,Loss,1,6,13,10,2,0,0.0,6.0
8996,Loss,0,12,8,5,0,0,-7.0,6.0
8997,Loss,0,5,15,13,2,0,-7.0,6.0
8998,Loss,0,4,23,21,3,0,-7.0,2.0
8999,Win,4,15,13,7,2,1,1.0,-3.0
9000,Win,4,15,13,7,2,1,1.0,-3.0
9001,Win,4,15,13,7,2,1,1.0,-3.0
9002,Win,3,13,26,22,3,2,3.0,-3.0
9003,Win,1,27,31,27,23,1,1.0,-3.0
9004,Loss,0,0,27,22,0,0,3.0,0.0
9007,Win,0,16,31,21,7,0,5.0,-18.0
9008,Loss,2,7,11,8,1,2,3.0,8.0
9009,Loss,1,3,15,13,3,1,3.0,9.0
9010,Loss,1,3,15,9,1,1,3.0,9.0
9011,Draw,2,34,11,8,9,1,-7.0,4.0
9012,Draw,2,34,11,8,9,1,-7.0,4.0
9013,Win,2,34,11,5,0,1,-7.0,4.0
9014,Win,2,34,11,5,0,1,-7.0,4.0
9015,Win,3,15,6,6,6,2,6.0,8.0
9017,Loss,1,8,35,32,7,1,-2.0,3.0
9018,Loss,0,7,13,11,1,0,3.0,12.0
9019,Loss,0,7,13,11,1,0,3.0,12.0
9020,Loss,0,7,13,10,0,0,3.0,12.0
9021,Loss,0,7,13,10,0,0,3.0,12.0
9022,Loss,2,7,18,10,0,2,-5.0,4.0
9024,Loss,1,1,47,18,0,1,-3.0,7.0
9025,Loss,1,1,47,13,0,1,-3.0,7.0
9026,Loss,3,42,23,10,3,0,11.0,4.0
9027,Loss,3,42,23,10,3,0,11.0,4.0
9028,Win,3,42,23,10,2,0,11.0,4.0
9029,Win,3,42,23,10,2,0,11.0,4.0
9030,Draw,2,7,11,5,0,1,3.0,-3.0
9031,Draw,2,7,11,5,0,1,3.0,-3.0
9032,Loss,0,0,20,13,0,0,-7.0,3.0
9033,Loss,0,0,20,13,0,0,-7.0,3.0
9034,Win,2,34,11,11,31,2,-7.0,-7.0
9035,Win,2,34,11,11,31,2,-7.0,-7.0
9036,Win,2,34,11,11,31,2,-7.0,-7.0
9037,Win,2,34,11,11,31,2,-7.0,-7.0
9038,Win,0,6,12,9,2,0,3.0,1.0
9039,Win,0,6,12,9,2,0,3.0,1.0
9040,Loss,2,7,18,15,2,2,-5.0,-7.0
9041,Loss,2,7,18,15,2,2,-5.0,-7.0
9044,Loss,1,3,20,14,1,1,0.0,-7.0
9045,Loss,1,3,20,14,1,1,0.0,-7.0
9046,Win,3,4,15,2,1,0,-2.0,3.0
9047,Win,3,4,15,2,1,0,-2.0,3.0
9048,Loss,2,7,11,0,0,0,-3.0,0.0
9049,Loss,1,2,8,2,0,0,-8.0,4.0
9050,Loss,2,12,7,3,1,2,-6.0,4.0
9051,Loss,0,3,17,9,0,0,-8.0,2.0
9052,Win,2,7,11,6,0,2,3.0,-3.0
9053,Win,2,7,11,6,0,2,3.0,-3.0
9054,Win,4,32,9,7,24,4,3.0,-8.0
9055,Win,4,32,9,7,24,4,3.0,-8.0
9058,Win,8,28,15,14,22,7,0.0,-12.0
9059,Win,8,28,15,14,22,7,0.0,-12.0
9062,Win,0,2,10,5,0,0,-2.0,4.0
9063,Win,0,2,10,5,0,0,-2.0,4.0
9064,Loss,2,7,11,6,1,2,-3.0,0.0
9065,Draw,2,7,18,2,0,1,-11.0,-4.0
9066,Loss,1,0,11,10,0,1,-11.0,5.0
9067,Loss,1,14,4,2,6,1,-6.0,4.0
9069,Loss,7,52,21,20,41,7,-6.0,-8.0
9071,Loss,0,1,17,14,0,0,-6.0,3.0
9072,Loss,0,1,17,14,0,0,-6.0,3.0
9073,Loss,0,1,17,14,0,0,-6.0,3.0
9074,Loss,1,2,6,5,0,1,-8.0,7.0
9075,Win,2,7,11,9,1,2,-3.0,5.0
9076,Win,0,6,12,9,3,0,-3.0,9.0
9077,Win,0,12,10,0,0,0,-4.0,6.0
9078,Win,0,12,10,0,0,0,-4.0,6.0
9079,Win,2,29,9,8,13,2,-3.0,0.0
9080,Win,0,2,15,13,1,0,-2.0,11.0
9081,Win,1,10,26,12,4,0,-8.0,-4.0
9082,Win,0,27,19,8,10,0,2.0,-4.0
9084,Win,2,7,11,10,4,2,5.0,-7.0
9087,Loss,0,0,14,10,0,0,2.0,-4.0
9088,Loss,0,0,14,10,0,0,2.0,-4.0
9089,Loss,2,7,11,7,1,2,5.0,-4.0
9090,Loss,1,5,14,12,5,1,-3.0,0.0
9091,Loss,1,5,14,12,5,1,-3.0,0.0
9092,Loss,1,5,14,12,5,1,-3.0,0.0
9093,Draw,2,5,12,12,2,1,-3.0,-4.0
9094,Draw,2,5,12,12,2,1,-3.0,-4.0
9095,Win,4,18,7,7,10,3,-3.0,-5.0
9096,Win,4,18,7,7,10,3,-3.0,-5.0
9097,Win,1,5,10,2,3,1,-3.0,1.0
9098,Win,0,15,3,3,6,0,8.0,-4.0
9099,Win,4,15,35,23,8,3,14.0,0.0
9100,Win,1,6,10,9,4,1,11.0,8.0
9101,Win,1,6,10,9,4,1,11.0,8.0
9102,Win,0,8,9,9,5,0,9.0,4.0
9103,Win,0,18,5,0,3,0,11.0,3.0
9104,Win,0,18,5,0,3,0,11.0,3.0
9105,Win,1,19,18,16,15,1,9.0,3.0
9106,Loss,0,4,55,32,2,0,7.0,3.0
9107,Loss,0,4,55,32,2,0,7.0,3.0
9114,Win,4,15,35,35,14,4,8.0,-6.0
9115,Loss,4,15,35,29,9,3,8.0,-2.0
9116,Win,4,32,9,6,18,3,8.0,-3.0
9118,Loss,0,5,71,47,4,0,10.0,-4.0
9119,Loss,3,3,14,12,0,3,5.0,2.0
9121,Loss,0,0,21,11,0,0,3.0,1.0
9122,Loss,4,15,35,24,9,3,0.0,-6.0
9123,Loss,4,15,35,24,9,3,0.0,-6.0
9124,Win,1,19,18,9,11,1,-5.0,-3.0
9125,Win,1,19,18,9,11,1,-5.0,-3.0
9126,Loss,0,1,24,14,0,0,-3.0,0.0
9127,Loss,0,1,24,14,0,0,-3.0,0.0
9128,Loss,3,8,8,7,4,3,3.0,-2.0
9129,Loss,3,8,8,7,4,3,3.0,-2.0
9130,Win,4,15,35,11,4,1,3.0,-1.0
9131,Win,0,3,23,23,2,0,-7.0,8.0
9132,Win,0,4,28,28,3,0,-12.0,-1.0
9133,Win,0,16,18,16,2,0,3.0,0.0
9134,Loss,0,5,16,13,3,0,0.0,3.0
9135,Loss,0,5,16,13,3,0,0.0,3.0
9136,Loss,0,5,16,13,3,0,0.0,3.0
9137,Loss,0,5,16,13,3,0,0.0,3.0
9138,Win,1,3,36,18,0,1,0.0,0.0
9139,Win,0,5,14,13,4,0,-3.0,7.0
9142,Draw,4,15,35,31,10,3,3.0,-4.0
9144,Loss,0,5,15,9,5,0,-9.0,1.0
9145,Loss,1,1,47,45,1,1,-3.0,-1.0
9146,Loss,0,9,44,41,8,0,-2.0,-7.0
9147,Win,1,11,23,21,5,1,-5.0,-2.0
9148,Win,0,13,4,4,3,0,-2.0,-2.0
9149,Draw,4,15,35,6,2,0,3.0,5.0
9150,Loss,2,29,9,5,5,2,3.0,4.0
9151,Loss,1,8,35,27,4,1,-2.0,4.0
9152,Loss,1,2,9,7,0,1,-6.0,13.0
9153,Win,2,25,21,7,1,1,-2.0,4.0
9154,Loss,0,2,24,4,0,0,-2.0,6.0
9155,Win,2,16,19,18,9,2,0.0,3.0
9156,Loss,0,20,15,13,16,0,0.0,6.0
9157,Loss,0,20,15,13,16,0,0.0,6.0
9158,Loss,0,20,15,13,16,0,0.0,6.0
9159,Loss,0,0,14,5,0,0,0.0,12.0
9160,Loss,0,0,14,5,0,0,0.0,12.0
9161,Loss,1,1,8,6,0,1,-5.0,18.0
9162,Win,4,15,35,20,7,3,5.0,3.0
9163,Win,0,18,28,25,4,0,1.0,-2.0
9164,Win,0,18,5,5,12,0,2.0,6.0
9165,Win,0,18,5,5,12,0,2.0,6.0
9166,Loss,0,4,55,4,1,0,-2.0,6.0
9167,Loss,0,4,55,4,1,0,-2.0,6.0
9170,Win,2,46,21,20,40,2,0.0,4.0
9171,Win,3,3,14,14,1,3,2.0,7.0
9173,Win,1,9,9,4,1,1,-2.0,10.0
9174,Win,3,24,15,14,16,2,5.0,-2.0
9175,Win,3,24,15,12,11,2,5.0,-2.0
9176,Win,3,24,15,11,7,2,5.0,-2.0
9177,Win,3,24,15,10,6,2,5.0,-2.0
9181,Loss,4,15,35,33,12,4,3.0,-4.0
9182,Loss,3,2,17,2,0,0,0.0,0.0
9183,Loss,3,2,17,2,0,0,0.0,0.0
9185,Win,5,30,12,12,28,5,3.0,-4.0
9186,Win,5,30,12,12,28,5,3.0,-4.0
9187,Win,5,30,12,12,28,5,3.0,-4.0
9188,Loss,0,0,20,7,0,0,8.0,-2.0
9189,Loss,0,0,21,7,0,0,-2.0,-1.0
9190,Draw,2,1,31,30,1,1,-9.0,-4.0
9194,Loss,2,1,31,15,1,1,-7.0,-2.0
9196,Loss,2,3,6,2,1,1,1.0,-8.0
9197,Loss,2,1,31,18,1,1,-8.0,5.0
9199,Win,0,29,0,0,15,0,-2.0,-8.0
9200,Win,2,46,21,18,33,2,-5.0,2.0
9203,Win,1,24,19,18,12,1,-6.0,8.0
9204,Win,4,19,13,12,6,1,-4.0,-2.0
9205,Win,4,19,13,12,6,1,-4.0,-2.0
9206,Loss,0,0,21,18,0,0,-4.0,2.0
9209,Win,0,1,19,14,0,0,-6.0,1.0
9212,Loss,2,1,31,8,0,1,-8.0,5.0
9213,Loss,1,2,30,12,1,0,-10.0,5.0
9214,Loss,0,11,24,8,0,0,-10.0,3.0
9215,Win,3,42,23,13,8,1,8.0,1.0
9216,Win,3,42,23,13,8,1,8.0,1.0
9217,Loss,1,4,28,9,1,1,3.0,0.0
9218,Loss,2,3,8,6,2,2,-3.0,10.0
9219,Win,8,28,15,6,2,2,-3.0,-4.0
9220,Loss,0,1,24,9,0,0,-3.0,7.0
9221,Loss,4,6,6,4,6,3,3.0,10.0
9222,Loss,0,4,29,26,4,0,7.0,-8.0
9223,Win,2,14,3,1,5,2,2.0,-4.0
9224,Win,2,14,3,1,5,2,2.0,-4.0
9225,Win,0,9,15,15,4,0,10.0,-8.0
9226,Win,0,9,15,15,4,0,10.0,-8.0
9230,Win,1,17,11,11,12,1,5.0,-10.0
9231,Win,1,17,11,11,12,1,5.0,-10.0
9234,Loss,0,4,29,25,4,0,3.0,-7.0
9235,Win,1,2,6,3,1,0,-3.0,1.0
9236,Win,1,2,6,3,1,0,-3.0,1.0
9250,Loss,0,4,29,19,2,0,-3.0,0.0
9251,Loss,0,2,17,16,2,0,-8.0,6.0
9253,Loss,0,4,29,28,4,0,12.0,1.0
9254,Win,3,13,14,11,3,3,7.0,1.0
9257,Loss,0,4,29,12,0,0,-3.0,1.0
9258,Loss,0,3,40,24,1,0,-3.0,2.0
9259,Loss,0,3,40,24,1,0,-3.0,2.0
9260,Loss,0,1,13,7,0,0,-8.0,1.0
9261,Loss,0,1,13,7,0,0,-8.0,1.0
9262,Loss,0,9,44,17,6,0,-5.0,-3.0
9263,Loss,1,3,13,11,3,1,-5.0,5.0
9264,Win,1,11,23,19,1,1,-8.0,2.0
9265,Draw,3,3,14,11,0,1,-3.0,4.0
9266,Loss,1,5,24,14,3,1,-14.0,0.0
9267,Loss,0,5,16,14,4,0,-3.0,4.0
9268,Loss,0,5,16,14,4,0,-3.0,4.0
9269,Loss,0,5,16,14,4,0,-3.0,4.0
9270,Loss,0,5,16,14,4,0,-3.0,4.0
9271,Draw,8,28,15,6,3,2,-3.0,-5.0
9272,Win,1,7,17,14,6,1,-3.0,4.0
9273,Win,0,6,13,9,1,0,0.0,6.0
9274,Win,0,6,13,9,1,0,0.0,6.0
9275,Loss,1,0,15,14,0,1,-8.0,6.0
9276,Loss,0,4,29,16,2,0,0.0,0.0
9277,Win,0,1,10,10,0,0,-4.0,3.0
9278,Win,2,7,18,12,0,2,-5.0,-1.0
9280,Win,5,18,23,15,7,4,8.0,-1.0
9281,Draw,5,18,23,10,6,3,8.0,-1.0
9282,Win,0,4,23,21,3,0,-8.0,1.0
9283,Win,0,4,23,21,3,0,-8.0,1.0
9284,Loss,1,6,10,6,0,1,0.0,13.0
9285,Loss,1,6,10,6,0,1,0.0,13.0
9286,Loss,1,2,30,22,2,0,-7.0,9.0
9287,Win,6,7,30,27,3,6,-7.0,6.0
9288,Win,6,7,30,27,3,6,-7.0,6.0
9289,Win,6,7,30,27,3,6,-7.0,6.0
9290,Loss,6,7,30,19,1,4,-7.0,6.0
9291,Loss,6,7,30,19,1,4,-7.0,6.0
9292,Loss,6,7,30,19,1,4,-7.0,6.0
9293,Loss,1,19,25,19,17,1,-1.0,10.0
9294,Loss,0,11,24,20,9,0,-1.0,4.0
9295,Win,5,9,23,18,4,3,0.0,6.0
9296,Draw,5,9,23,18,4,2,0.0,6.0
9297,Win,0,1,26,19,0,0,5.0,17.0
9298,Loss,0,4,55,20,2,0,-4.0,8.0
9299,Loss,0,4,55,20,2,0,-4.0,8.0
9300,Loss,2,2,18,8,0,0,-10.0,12.0
9301,Loss,0,5,71,34,4,0,5.0,3.0
9303,Loss,0,1,15,11,0,0,-5.0,8.0
9304,Loss,1,6,10,9,5,1,2.0,-1.0
9305,Loss,1,6,10,9,5,1,2.0,-1.0
9308,Win,2,12,1,1,8,2,-3.0,0.0
9309,Loss,0,0,20,19,0,0,-12.0,10.0
9310,Loss,0,0,20,19,0,0,-12.0,10.0
9311,Loss,0,0,20,19,0,0,-12.0,10.0
9312,Win,1,7,39,33,4,1,-10.0,5.0
9313,Win,1,7,39,33,4,1,-10.0,5.0
9314,Win,1,7,39,33,4,1,-10.0,5.0
9315,Win,2,4,25,19,2,0,-12.0,3.0
9316,Win,2,4,25,19,2,0,-12.0,3.0
9317,Win,2,4,25,19,2,0,-12.0,3.0
9318,Win,1,3,18,9,0,0,-4.0,8.0
9319,Win,1,3,18,9,0,0,-4.0,8.0
9320,Win,1,3,18,9,0,0,-4.0,8.0
9321,Win,1,3,18,9,0,0,-4.0,8.0
9322,Win,1,3,18,9,0,0,-4.0,8.0
9323,Win,1,3,18,9,0,0,-4.0,8.0
9324,Win,4,12,15,11,5,2,-5.0,2.0
9325,Win,4,12,15,11,5,2,-5.0,2.0
9326,Win,4,12,15,11,5,2,-5.0,2.0
9327,Loss,0,3,40,27,2,0,-5.0,2.0
9328,Loss,0,3,40,27,2,0,-5.0,2.0
9329,Loss,0,3,40,27,2,0,-5.0,2.0
9330,Loss,0,3,40,27,2,0,-5.0,2.0
9331,Loss,0,3,40,27,2,0,-5.0,2.0
9332,Loss,0,3,40,27,2,0,-5.0,2.0
9333,Win,0,18,28,23,1,0,-6.0,-5.0
9334,Win,0,18,28,23,1,0,-6.0,-5.0
9335,Win,0,18,28,23,1,0,-6.0,-5.0
9336,Win,3,47,21,17,5,0,3.0,-1.0
9337,Win,3,47,21,17,5,0,3.0,-1.0
9338,Win,3,47,21,17,5,0,3.0,-1.0
9339,Loss,0,0,20,7,0,0,-5.0,13.0
9356,Loss,0,0,20,17,0,0,-8.0,4.0
9357,Loss,0,0,20,17,0,0,-8.0,4.0
9358,Loss,2,5,11,8,2,1,-5.0,-6.0
9359,Loss,2,5,11,8,2,1,-5.0,-6.0
9365,Loss,0,0,20,12,0,0,-7.0,3.0
9366,Loss,0,0,20,12,0,0,-7.0,3.0
9367,Win,1,5,12,9,3,1,2.0,-1.0
9368,Win,1,5,12,9,3,1,2.0,-1.0
9369,Win,1,5,12,9,3,1,2.0,-1.0
9370,Win,1,5,12,9,3,1,2.0,-1.0
9371,Win,0,3,8,8,1,0,-4.0,3.0
9372,Win,0,3,8,8,1,0,-4.0,3.0
9373,Win,1,7,39,17,1,0,-13.0,10.0
9374,Loss,3,18,40,34,18,3,-12.0,7.0
9375,Loss,0,12,10,6,7,0,-6.0,10.0
9376,Loss,0,12,10,6,7,0,-6.0,10.0
9377,Loss,0,18,5,1,11,0,-8.0,8.0
9378,Loss,0,18,5,1,11,0,-8.0,8.0
9379,Loss,1,1,47,10,0,1,-11.0,8.0
9380,Loss,1,1,47,2,0,1,-11.0,8.0
9381,Loss,1,5,47,16,3,1,-5.0,3.0
9382,Loss,1,5,47,16,3,1,-5.0,3.0
9383,Loss,1,5,47,8,3,1,-5.0,3.0
9384,Loss,1,5,47,8,3,1,-5.0,3.0
9385,Loss,0,5,17,11,2,0,-5.0,-1.0
9386,Loss,0,5,17,11,2,0,-5.0,-1.0
9387,Loss,0,0,22,14,0,0,-13.0,13.0
9389,Loss,1,9,37,20,5,1,-22.0,6.0
9390,Loss,0,17,26,19,7,0,-6.0,-4.0
9393,Loss,0,3,2,1,2,0,-15.0,9.0
9394,Loss,0,3,2,1,2,0,-15.0,9.0
9395,Loss,0,1,53,46,0,0,-14.0,10.0
9398,Loss,1,4,28,14,2,1,-2.0,4.0
9399,Loss,0,1,15,4,0,0,-13.0,8.0
9400,Loss,1,7,39,38,7,1,-5.0,2.0
9401,Loss,1,7,39,38,7,1,-5.0,2.0
9402,Loss,0,12,10,9,10,0,2.0,2.0
9403,Loss,0,12,10,9,10,0,2.0,2.0
9404,Loss,0,12,10,9,10,0,2.0,2.0
9405,Loss,0,12,10,9,10,0,2.0,2.0
9406,Loss,1,3,15,12,2,1,-7.0,5.0
9407,Loss,1,3,15,12,2,1,-7.0,5.0
9408,Loss,0,1,26,23,1,0,5.0,9.0
9409,Loss,0,1,26,23,1,0,5.0,9.0
9410,Loss,0,9,44,39,8,0,-2.0,-6.0
9411,Loss,0,9,44,39,8,0,-2.0,-6.0
9412,Win,0,27,19,11,16,0,8.0,-8.0
9413,Win,0,27,19,11,16,0,8.0,-8.0
9414,Loss,0,0,3,0,0,0,-2.0,5.0
9415,Loss,0,0,3,0,0,0,-2.0,5.0
9416,Loss,0,0,3,0,0,0,-2.0,5.0
9417,Loss,0,0,3,0,0,0,-2.0,5.0
9418,Loss,1,5,24,7,1,0,-11.0,-3.0
9419,Loss,1,5,24,7,1,0,-11.0,-3.0
9436,Loss,1,7,39,22,2,0,-3.0,4.0
9437,Loss,1,13,31,25,7,0,5.0,-2.0
9438,Loss,0,4,55,38,3,0,-2.0,2.0
9439,Loss,0,4,55,38,3,0,-2.0,2.0
9440,Loss,0,4,55,30,2,0,-2.0,2.0
9441,Loss,0,4,55,30,2,0,-2.0,2.0
9442,Loss,0,4,55,24,2,0,-2.0,2.0
9443,Loss,0,4,55,24,2,0,-2.0,2.0
9444,Loss,2,1,20,9,0,1,2.0,1.0
9445,Loss,2,1,20,9,0,1,2.0,1.0
9446,Loss,0,9,44,35,8,0,0.0,-4.0
9448,Loss,0,5,71,57,4,0,7.0,-3.0
9449,Loss,1,9,9,4,2,1,-2.0,6.0
9450,Loss,1,9,9,3,1,1,-2.0,6.0
9451,Loss,1,9,9,2,1,1,-2.0,6.0
9452,Loss,0,3,21,10,0,0,4.0,9.0
9453,Draw,3,24,15,4,1,1,5.0,-6.0
9454,Loss,3,24,15,3,1,1,5.0,-6.0
9470,Loss,1,7,39,28,3,1,-6.0,8.0
9477,Loss,3,5,8,7,3,2,-5.0,1.0
9478,Loss,3,5,8,6,2,2,-5.0,1.0
9479,Loss,3,5,8,7,3,2,-5.0,1.0
9480,Loss,3,5,8,6,2,2,-5.0,1.0
9483,Loss,0,2,25,14,0,0,-12.0,1.0
9484,Loss,0,2,25,14,0,0,-12.0,1.0
9485,Loss,5,18,23,13,6,4,-3.0,2.0
9486,Loss,5,18,23,13,6,4,-3.0,2.0
9510,Draw,2,4,25,22,3,0,-7.0,1.0
9511,Loss,0,5,37,30,1,0,5.0,-2.0
9512,Loss,0,5,37,30,1,0,5.0,-2.0
9513,Loss,0,5,37,30,1,0,5.0,-2.0
9514,Loss,1,4,23,11,2,1,3.0,-2.0
9515,Loss,1,4,23,11,2,1,3.0,-2.0
9516,Loss,2,3,16,15,1,1,-2.0,-5.0
9517,Win,2,3,16,15,0,1,-2.0,-5.0
9519,Loss,0,4,29,23,3,0,-6.0,4.0
9524,Draw,2,4,25,24,4,1,-5.0,6.0
9525,Win,4,12,15,14,9,4,2.0,5.0
9526,Loss,4,12,15,13,9,4,2.0,5.0
9527,Loss,0,3,40,39,3,0,2.0,5.0
9528,Loss,0,3,40,39,3,0,2.0,5.0
9529,Win,0,29,2,2,15,0,0.0,-1.0
9531,Loss,0,4,23,22,4,0,-6.0,5.0
